# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	269784
#@/user_id	a7db7ad9-a2db-4db2-a47e-500434d77068
a 	啊	c=2024 d=2.69461 t=269624
ai ni yo 	爱你哟	c=2 d=1.38098 t=106418
ai qi yi hui yuan 	爱奇艺会员	c=1 d=1 t=51398
ai qing 	爱情	c=12 d=1 t=75413
ai ren 	矮人	c=68 d=1 t=181965
ai ren jin kuang 	矮人金矿	c=54 d=1 t=202513
ai ren jin nian 	矮人今年	c=1 d=1 t=100571
ai shang 	爱上	c=3 d=1 t=109900
ai ta 	爱他	c=1 d=1 t=54127
ai xin 	爱心	c=5 d=1 t=246623
ai ya 	哎呀	c=224 d=1 t=264695
ai ya ya 	哎呀呀	c=2 d=1 t=112497
ai yi 	爱意	c=10 d=1.01437 t=248808
ai yo 	哎哟	c=1 d=1 t=135485
ai zai yi qi 	挨在一起	c=1 d=1 t=777
ai zai yi qi 	爱在一起	c=1 d=1 t=776
ai zhe 	爱着	c=1 d=1 t=87861
an 	安	c=12 d=1 t=252615
an 	按	c=23 d=1 t=214183
an 	暗	c=18 d=1 t=260078
an 	谙	c=2 d=1 t=213477
an an wen wen 	安安稳稳	c=2 d=1 t=233286
an fu 	安抚	c=1 d=1 t=227830
an hou 	案后	c=1 d=1 t=117467
an jian 	按键	c=2 d=1 t=126347
an jing 	安静	c=1 d=1 t=54634
an le 	安乐	c=2 d=1.6942 t=250332
an li lai shuo 	按理来说	c=3 d=1 t=192003
an men 	暗门	c=1 d=1 t=165132
an mian yao 	安眠药	c=1 d=1 t=33694
an mo 	按摩	c=8 d=0.1 t=184623
an mo fa 	按摩法	c=1 d=1 t=193931
an mo xia 	按摩下	c=1 d=1 t=56513
an mo yi 	按摩椅	c=1 d=1 t=56512
an niu 	按钮	c=61 d=1 t=265358
an pai 	安排	c=83 d=3.9656 t=269090
an pai ren 	安排人	c=1 d=1 t=256011
an pai xia 	安排下	c=1 d=1 t=13951
an pai zhe 	安排着	c=1 d=1 t=181219
an quan 	安全	c=18 d=1 t=260045
an quan ku 	安全裤	c=1 d=1 t=196601
an quan qu 	安全区	c=1 d=1 t=128251
an quan xie 	安全鞋	c=1 d=1 t=220525
an shi 	按时	c=10 d=1 t=247856
an shi zhe 	暗示着	c=1 d=1 t=5119
an wang 	暗网	c=1 d=1 t=193909
an wei 	安慰	c=8 d=1 t=221458
an wei ren 	安慰人	c=1 d=1 t=140141
an wen 	安稳	c=1 d=1 t=256286
an xia 	按下	c=1 d=1 t=28179
an xie 	安歇	c=1 d=1 t=154682
an xin 	安心	c=4 d=1 t=247813
an ye yi yang 	俺也一样	c=1 d=1 t=196673
an yi 	安逸	c=88 d=1 t=268793
an yi a 	安逸啊	c=1 d=1 t=245661
an zhao 	按照	c=256 d=1.27557 t=268124
an zhe 	按着	c=2 d=1 t=36381
an zhe yang 	按这样	c=1 d=1 t=35889
an zhi 	安置	c=0 d=0.1 t=6913
an zhi qian 	按之前	c=1 d=1 t=15970
an zhu 	按住	c=1 d=1 t=103955
an zhuang 	安装	c=65 d=1 t=266931
an zhuang bao 	安装包	c=1 d=1 t=175770
an zhuo 	安卓	c=22 d=1.9802 t=260508
an zhuo bao 	安卓包	c=1 d=1 t=201042
an zi 	案子	c=28 d=1 t=189144
ang 	昂	c=9 d=1 t=174877
ang shou kuo bu 	昂首阔步	c=1 d=1 t=4973
ao 	傲	c=1 d=1 t=21625
ao 	熬	c=14 d=0.1 t=259489
ao bing zhuan 	敖丙传	c=1 d=1 t=107806
ao chu lai 	熬出来	c=1 d=1 t=60088
ao hao 	熬好	c=1 d=1 t=100762
ao te man 	奥特曼	c=2 d=1.79453 t=112144
ao ti 	奥体	c=2 d=1 t=14375
ao ye 	熬夜	c=13 d=1.956 t=246705
ba 	八	c=1 d=1 t=3667
ba 	吧	c=1422 d=1.85623 t=269764
ba 	扒	c=1 d=1 t=222190
ba 	把	c=640 d=1.97081 t=269732
ba 	拔	c=1 d=1 t=68462
ba 	爸	c=10 d=1 t=235029
ba 	罢	c=3 d=1.03373 t=4526
ba ba 	巴巴	c=1 d=1 t=86020
ba ba 	把把	c=1 d=1 t=16867
ba ba 	爸爸	c=3 d=2.87897 t=16374
ba ba 	粑粑	c=1 d=1 t=175904
ba ba shao 	把把烧	c=1 d=1 t=97662
ba bai nian qian 	八百年前	c=1 d=1 t=22649
ba bi 	芭比	c=26 d=1 t=265207
ba bi wa wa 	芭比娃娃	c=12 d=1 t=261761
ba dian ban 	八点半	c=3 d=1 t=204148
ba er 	把儿	c=1 d=1 t=146040
ba gua 	八卦	c=8 d=1 t=257845
ba gua xia 	八卦下	c=1 d=1 t=184458
ba gua zhi xin 	八卦之心	c=1 d=1 t=21923
ba guo lian jun 	八国联军	c=1 d=1 t=27793
ba he 	拔河	c=1 d=1 t=84389
ba ji ba ji 	吧唧吧唧	c=1 d=1 t=227398
ba jie 	八戒	c=1 d=1 t=198174
ba kao 	罢考	c=1 d=1 t=54194
ba kong 	把控	c=2 d=1.93707 t=87042
ba la ba la 	巴啦巴啦	c=1 d=1 t=250615
ba ma 	爸妈	c=4 d=1 t=233246
ba sha yu 	巴沙鱼	c=5 d=1.00701 t=54651
ba shi 	巴士	c=1 d=1 t=226811
ba shi jian 	把时间	c=1 d=1 t=18124
ba shu 	巴蜀	c=1 d=1 t=115094
ba tai 	吧台	c=1 d=1 t=141364
ba wan ya 	拔完牙	c=2 d=1 t=38727
ba wang 	霸王	c=1 d=1 t=38446
ba wang cha ji 	霸王茶姬	c=5 d=1.99501 t=141272
ba wo 	把握	c=3 d=1 t=242691
ba xi 	巴西	c=1 d=1 t=84526
ba xiang 	靶向	c=1 d=1 t=179763
ba ya 	拔牙	c=3 d=2.63952 t=36168
ba yue 	八月	c=1 d=1 t=163836
ba zhang 	巴掌	c=1 d=1 t=79493
ba zi 	八字	c=5 d=1.00294 t=144818
bai 	摆	c=11 d=1 t=252723
bai 	白	c=13 d=1 t=250388
bai bai 	拜拜	c=4 d=1 t=232230
bai ban 	白板	c=2 d=1 t=19072
bai bu kai 	摆不开	c=1 d=1 t=122538
bai cai 	白菜	c=9 d=1 t=256683
bai cha 	白茶	c=1 d=1 t=38065
bai da 	白搭	c=1 d=1 t=158265
bai dian 	白点	c=1 d=1 t=30236
bai du 	百度	c=10 d=1 t=261876
bai du wang pan 	百度网盘	c=1 d=1 t=17366
bai fang 	摆放	c=11 d=1.00007 t=254591
bai fen bai 	百分百	c=8 d=1 t=269754
bai fen bi 	百分比	c=2 d=1 t=144314
bai fen hao 	百分号	c=1 d=1 t=50353
bai fen zhi 	百分之	c=11 d=1 t=147445
bai fen zhi bai 	百分之百	c=4 d=1 t=250364
bai gan 	白干	c=2 d=1.625 t=228085
bai hu 	白虎	c=3 d=1.00019 t=252362
bai jia hao 	百家号	c=3 d=1 t=191785
bai jia zi 	摆架子	c=1 d=1 t=329
bai jian 	摆件	c=1 d=1 t=181535
bai kai shui 	白开水	c=1 d=1 t=204732
bai kou mo bian 	百口莫辩	c=2 d=1.98511 t=4751
bai lan 	摆烂	c=12 d=1 t=241813
bai lian 	白脸	c=1 d=1 t=136397
bai ling hai 	白令海	c=2 d=1 t=207059
bai mang mang 	白茫茫	c=1 d=1 t=22416
bai mi fan 	白米饭	c=1 d=1 t=41470
bai ming 	摆明	c=4 d=1 t=172640
bai ming dan 	白名单	c=4 d=1.96079 t=246544
bai mu 	白木	c=1 d=1 t=139390
bai pao 	白跑	c=1 d=1 t=134436
bai piao 	白嫖	c=1 d=1 t=55170
bai se 	白色	c=15 d=3.34369 t=261953
bai se lian ren 	白色恋人	c=1 d=1 t=261756
bai sha 	白鲨	c=1 d=1 t=61389
bai shi tong 	百事通	c=1 d=1 t=25275
bai tian 	白天	c=20 d=1 t=250965
bai tian bai tian 	白天白天	c=1 d=1 t=105635
bai wan 	百万	c=1 d=1 t=230170
bai xiao sheng 	百晓生	c=1 d=1 t=25278
bai xie 	拜谢	c=1 d=1 t=67050
bai xie 	白写	c=3 d=1 t=189235
bai xue 	白雪	c=1 d=1 t=5000
bai xue ai ai 	白雪皑皑	c=1 d=1 t=4997
bai yi 	百亿	c=1 d=1 t=54457
bai yun dou 	白芸豆	c=1 d=1 t=266911
bai zai 	摆在	c=2 d=1 t=92963
bai zhang 	败仗	c=1 d=1 t=370
bai zhe 	摆着	c=1 d=1 t=76399
bai zhe 	白者	c=1 d=1 t=72802
bai zhi 	白纸	c=1 d=1 t=126647
ban 	办	c=6 d=1 t=170892
ban 	半	c=33 d=1.04712 t=256921
ban 	斑	c=1 d=1 t=110697
ban 	板	c=17 d=1 t=265517
ban 	班	c=10 d=1 t=256357
ban bei 	半杯	c=1 d=1 t=24201
ban ben 	版本	c=79 d=3.6363 t=266922
ban ben hao 	版本号	c=2 d=1 t=261999
ban bo 	斑驳	c=1 d=1 t=27662
ban che 	班车	c=2 d=1 t=229011
ban cheng 	办成	c=3 d=1 t=218767
ban cheng pin 	半成品	c=2 d=1 t=245188
ban dao 	半岛	c=1 d=1 t=36753
ban dao ti 	半导体	c=3 d=2.59034 t=265079
ban dian 	半点	c=1 d=1 t=30237
ban er 	伴儿	c=1 d=1 t=70658
ban fa 	办法	c=79 d=1 t=269446
ban ge 	半个	c=32 d=1 t=258859
ban ge yue 	半个月	c=9 d=1 t=244838
ban gong 	办公	c=8 d=1 t=133845
ban gong shi 	办公室	c=3 d=1.99005 t=242374
ban gong zhuo 	办公桌	c=1 d=1 t=82085
ban guo lai 	搬过来	c=1 d=1 t=52293
ban guo qu 	搬过去	c=1 d=1 t=216511
ban jia 	搬家	c=16 d=1 t=246809
ban jiao shi 	绊脚石	c=1 d=1 t=61297
ban jie 	半截	c=1 d=1 t=255830
ban jin 	半斤	c=1 d=1 t=74232
ban ka 	办卡	c=2 d=1.00752 t=160978
ban kuai 	板块	c=1 d=1 t=57895
ban li 	办理	c=28 d=1.98511 t=254139
ban li 	板栗	c=1 d=1 t=97434
ban lu 	半路	c=1 d=1 t=132707
ban lu jian 	半露肩	c=2 d=1.95123 t=92430
ban lu shang 	半路上	c=1 d=1 t=7192
ban ma 	斑马	c=1 d=1 t=190185
ban nian 	半年	c=5 d=1 t=176690
ban ping 	半瓶	c=1 d=1 t=60649
ban quan 	版权	c=4 d=1.79057 t=248072
ban ren zhen 	半认真	c=1 d=1 t=37815
ban shang 	搬上	c=1 d=1 t=226083
ban shi 	办事	c=4 d=1 t=242090
ban shi chu 	办事处	c=1 d=1 t=163140
ban shi qing 	办事情	c=1 d=1 t=70260
ban tian 	半天	c=11 d=1 t=255295
ban tian jia 	半天假	c=1 d=1 t=162438
ban wan 	办完	c=3 d=1 t=230169
ban xia 	班下	c=1 d=1 t=40159
ban xiao shi 	半小时	c=5 d=1 t=226045
ban xing ban shui 	半醒半睡	c=1 d=1 t=92646
ban ye 	半夜	c=6 d=1 t=231279
ban yun 	搬运	c=1 d=1 t=131790
ban zhu chi hu 	扮猪吃虎	c=0 d=0.1 t=4040
ban zhu chi hu en xia 	扮猪吃虎摁下	c=1 d=1 t=4041
ban zhu ren 	班主任	c=1 d=1 t=16368
ban zi 	板子	c=17 d=3.13374 t=269525
ban zou 	搬走	c=1 d=1 t=112971
bang 	帮	c=81 d=1.00014 t=267294
bang dan 	榜单	c=1 d=1 t=205292
bang ding 	绑定	c=37 d=5.12822 t=238176
bang ding fang shi 	绑定方式	c=1 d=1 t=129490
bang he 	棒喝	c=1 d=1 t=246058
bang mang 	帮忙	c=41 d=1 t=268940
bang ni 	帮你	c=6 d=1 t=198117
bang ren 	帮人	c=1 d=1 t=153453
bang rui 	邦瑞	c=3 d=1 t=138999
bang shou 	榜首	c=2 d=1.00122 t=3764
bang wo 	帮我	c=2 d=1 t=26364
bang wo kan kan 	帮我看看	c=1 d=1 t=69485
bang zhe 	帮着	c=5 d=1 t=244376
bang zhu 	帮助	c=14 d=1 t=259013
bang zhu xia 	帮助下	c=2 d=1.0101 t=6531
bang zi 	帮子	c=1 d=1 t=292
bao 	保	c=3 d=1 t=217870
bao 	包	c=406 d=1.21655 t=268817
bao 	宝	c=2 d=1 t=239071
bao 	报	c=23 d=1.93707 t=267799
bao 	抱	c=1 d=1 t=83974
bao 	爆	c=1 d=1 t=117718
bao 	饱	c=27 d=1 t=222768
bao an 	保安	c=3 d=2.86013 t=123351
bao bao 	包包	c=1 d=1 t=40416
bao bao 	宝宝	c=1 d=1 t=152037
bao bao 	抱抱	c=30 d=1.00002 t=257922
bao bao 	饱饱	c=4 d=1 t=256690
bao bao ni 	抱抱你	c=1 d=1 t=83775
bao bei 	宝贝	c=1 d=1 t=77474
bao bi 	包庇	c=1 d=1 t=192168
bao bu dao 	抱不到	c=2 d=1 t=73904
bao che 	包车	c=1 d=1 t=190463
bao chi 	保持	c=25 d=1 t=248713
bao chu 	包出	c=3 d=1 t=223221
bao chu 	爆出	c=7 d=1 t=233814
bao cun 	保存	c=10 d=1 t=210217
bao cun hao 	保存好	c=1 d=1 t=67319
bao cun shang 	保存上	c=1 d=1 t=119252
bao cuo 	报错	c=225 d=1 t=268915
bao cuo o 	报错哦	c=1 d=1 t=145517
bao da tui 	抱大腿	c=1 d=1 t=58217
bao dao 	报道	c=2 d=1 t=191727
bao di 	保底	c=2 d=1 t=130287
bao di er 	保底儿	c=1 d=1 t=16868
bao dian 	爆点	c=1 d=1 t=42829
bao ding 	爆顶	c=2 d=1.98511 t=100563
bao er 	宝儿	c=1930 d=2.97973 t=269596
bao er nai 	包二奶	c=2 d=1 t=213533
bao fa 	爆发	c=1 d=1 t=5962
bao fa shi 	爆发式	c=1 d=1 t=158966
bao fang 	包房	c=2 d=1.625 t=119848
bao fei 	报废	c=2 d=1 t=27754
bao fu 	包袱	c=2 d=1.73345 t=5047
bao fu gan 	饱腹感	c=3 d=1 t=250736
bao gao 	报告	c=3 d=1.81058 t=232315
bao gei 	报给	c=2 d=1 t=243367
bao geng xin 	包更新	c=6 d=1 t=257754
bao guang 	曝光	c=1 d=1 t=197538
bao guo 	包裹	c=2 d=1 t=122370
bao han 	包含	c=11 d=1 t=261050
bao han zhe 	包含着	c=1 d=1 t=29594
bao hao 	包好	c=1 d=1 t=56147
bao hu 	保护	c=5 d=2.66711 t=150929
bao hu xing 	保护性	c=1 d=1 t=23375
bao ji 	暴击	c=2 d=1 t=134849
bao jian 	包间	c=8 d=1.00051 t=237782
bao jiao zi 	包饺子	c=1 d=1 t=142359
bao jie 	保洁	c=4 d=1.96561 t=134850
bao jing 	报警	c=1 d=1 t=73199
bao kao 	报考	c=3 d=1.02782 t=31331
bao ku 	宝库	c=3 d=1 t=224289
bao kuan 	爆款	c=1 d=1 t=13648
bao kuo 	包括	c=28 d=1 t=265562
bao lei 	爆雷	c=1 d=1 t=112596
bao li 	暴利	c=2 d=1.94649 t=268223
bao li 	暴力	c=1 d=1 t=103020
bao liao 	爆料	c=1 d=1 t=43187
bao liu 	保留	c=9 d=1.01692 t=250058
bao lu 	暴露	c=7 d=1 t=161274
bao lu cun zai 	暴露存在	c=1 d=1 t=89129
bao mi 	保密	c=2 d=0.1 t=215774
bao mian 	包面	c=1 d=1 t=217236
bao ming 	包名	c=7 d=2.91693 t=191436
bao ming 	报名	c=17 d=1.97045 t=191435
bao ming fei 	报名费	c=1 d=1 t=84009
bao qian 	抱歉	c=2 d=1 t=141129
bao rong 	包容	c=2 d=1.90937 t=53503
bao shang qu 	报上去	c=1 d=1 t=173505
bao shi 	宝石	c=16 d=1.01128 t=90662
bao shi fu 	鲍师傅	c=1 d=1 t=191517
bao ta zhen he yao 	宝塔镇河妖	c=1 d=1 t=12593
bao tuan 	抱团	c=1 d=1 t=185799
bao wei 	保卫	c=12 d=1 t=265204
bao wei nong chang 	保卫农场	c=4 d=1 t=261764
bao wen 	保温	c=1 d=1 t=45688
bao wo 	抱我	c=1 d=1 t=219032
bao xian 	保险	c=7 d=1 t=268303
bao xiang 	宝箱	c=3 d=1.50158 t=268442
bao xiao 	报销	c=13 d=1 t=242544
bao yang 	保养	c=5 d=1.93239 t=158917
bao you 	保佑	c=1 d=1 t=92780
bao yuan 	抱怨	c=5 d=1 t=267947
bao zao 	暴躁	c=1 d=1 t=229656
bao zha 	爆炸	c=3 d=1.98511 t=229657
bao zhang 	报账	c=4 d=1 t=233671
bao zhe 	抱着	c=8 d=1 t=88810
bao zhen 	保真	c=1 d=1 t=234774
bao zhen 	抱枕	c=2 d=1 t=247604
bao zheng 	保证	c=75 d=1.15263 t=257071
bao zhi 	保值	c=1 d=1 t=107946
bao zhi bao liang de wan cheng 	保质保量地完成	c=2 d=1.9802 t=156472
bao zhong 	保重	c=1 d=1 t=44223
bao zhuang 	包装	c=13 d=1 t=220905
bao zhuang he 	包装盒	c=2 d=1.00017 t=58893
bao zhun 	保准	c=2 d=1.92774 t=39908
bao zi 	包子	c=8 d=1.9802 t=197403
bao zi 	豹子	c=2 d=1.9802 t=99493
bao zuo 	宝座	c=2 d=1.73345 t=4360
bei 	倍	c=43 d=1.97329 t=263682
bei 	北	c=2 d=1 t=55421
bei 	呗	c=61 d=1 t=262779
bei 	杯	c=7 d=1 t=222540
bei 	碑	c=1 d=1 t=74625
bei 	背	c=5 d=1 t=201699
bei 	被	c=249 d=1.00118 t=266115
bei an 	备案	c=2 d=1 t=255455
bei bao 	背包	c=1 d=1 t=15103
bei bei 	贝贝	c=1 d=1 t=149209
bei bei jia 	背背佳	c=1 d=1 t=89171
bei cai 	被裁	c=1 d=1 t=225189
bei ding 	被定	c=1 d=1 t=235365
bei dong 	被动	c=5 d=1.94649 t=235366
bei fang 	北方	c=8 d=1 t=190766
bei fang qu 	北方区	c=1 d=1 t=41267
bei fen 	备份	c=3 d=1 t=122247
bei fu 	背负	c=2 d=1 t=190960
bei guan 	悲观	c=1 d=1 t=86489
bei guang 	背光	c=6 d=1.61263 t=253221
bei guo 	背锅	c=2 d=1 t=195713
bei hai 	北海	c=3 d=1.9802 t=196129
bei hou 	背后	c=13 d=1 t=252754
bei huan 	悲欢	c=1 d=1 t=76746
bei ji 	北极	c=3 d=2.80521 t=22854
bei jing 	北京	c=169 d=1 t=265666
bei jing 	背景	c=40 d=1 t=265699
bei jing er 	北京儿	c=2 d=1 t=172828
bei jing yin yue 	背景音乐	c=2 d=1 t=265688
bei ju 	悲剧	c=0 d=0.1 t=73497
bei lu guo 	被路过	c=1 d=1 t=216149
bei lv 	倍率	c=23 d=1 t=252433
bei ni men 	被你们	c=1 d=1 t=30226
bei pan 	背叛	c=3 d=2.96042 t=4690
bei pao qi 	被抛弃	c=1 d=1 t=23296
bei piao 	北漂	c=7 d=2.9216 t=81972
bei ren 	被人	c=2 d=1 t=245749
bei sai er qu xian 	贝塞尔曲线	c=1 d=1 t=27125
bei shang 	悲伤	c=6 d=1 t=253543
bei shang 	背上	c=1 d=1 t=265166
bei shu 	倍数	c=40 d=1 t=246710
bei shuo 	被说	c=1 d=1 t=37731
bei su 	倍速	c=2 d=1 t=239480
bei wang lu 	备忘录	c=1 d=1 t=60879
bei wo 	被窝	c=1 d=1 t=40108
bei wo li 	被窝里	c=1 d=1 t=54227
bei ying xiang 	被影响	c=1 d=1 t=176548
bei yong 	备用	c=6 d=1 t=184002
bei yun 	备孕	c=1 d=1 t=215668
bei zhu 	备注	c=7 d=1 t=180464
bei zhua 	被抓	c=3 d=0.1 t=185705
bei zi 	杯子	c=6 d=1 t=247914
bei zi 	被子	c=3 d=1 t=213330
ben 	奔	c=3 d=1 t=242148
ben 	本	c=14 d=1 t=236514
ben ci 	本次	c=10 d=3.07049 t=206726
ben di 	本地	c=58 d=1 t=266769
ben di bao 	本地宝	c=2 d=1 t=168350
ben fang 	奔放	c=1 d=1 t=5128
ben guan 	本关	c=2 d=1 t=164556
ben jiu 	本就	c=1 d=1 t=294
ben jiu shi 	本就是	c=1 d=1 t=333
ben ke 	本科	c=2 d=1.93707 t=33116
ben ku 	本苦	c=1 d=1 t=13156
ben lai 	本来	c=62 d=1 t=261686
ben lan 	本栏	c=1 d=1 t=750
ben ming 	本名	c=0 d=0.1 t=152696
ben pao 	奔跑	c=1 d=1 t=27133
ben qian 	本钱	c=1 d=1 t=208224
ben qu 	奔去	c=1 d=1 t=4669
ben ren 	本人	c=2 d=1 t=242591
ben shen 	本身	c=47 d=1.00205 t=267510
ben sheng deng 	本生灯	c=1 d=1 t=267508
ben shi 	本事	c=1 d=1 t=105281
ben shi 	本是	c=1 d=1 t=56523
ben shu 	本书	c=1 d=1 t=28584
ben tie 	本帖	c=1 d=1 t=130278
ben wen 	本文	c=1 d=1 t=3606
ben xing 	本性	c=5 d=1.71228 t=4017
ben yi 	本意	c=1 d=1 t=187633
ben zhe 	本着	c=5 d=1 t=27499
ben zhi 	本职	c=1 d=1 t=179305
ben zhi 	本质	c=18 d=1 t=232902
ben zhi shang 	本质上	c=20 d=1.00004 t=262045
ben zi 	本子	c=1 d=1 t=136422
beng 	崩	c=1 d=1 t=210699
beng chu lai 	蹦出来	c=1 d=1 t=95726
beng ji 	蹦极	c=1 d=1 t=250306
beng kui 	崩溃	c=48 d=1 t=257536
bi 	壁	c=1 d=1 t=33592
bi 	币	c=1 d=1 t=268738
bi 	必	c=3 d=1 t=145500
bi 	比	c=72 d=1 t=266712
bi 	笔	c=5 d=1.55648 t=127001
bi 	逼	c=2 d=1 t=145121
bi bei 	必备	c=1 d=1 t=53407
bi bi 	逼逼	c=0 d=0.1 t=198118
bi bi dao dao 	逼逼叨叨	c=1 d=1 t=198119
bi bu de 	比不得	c=1 d=1 t=88097
bi bu shang 	比不上	c=1 d=1 t=9671
bi ci 	彼此	c=7 d=1 t=225427
bi de 	逼得	c=0 d=0.1 t=172110
bi ding 	必定	c=10 d=1.26054 t=268296
bi ding shi 	必定是	c=1 d=1 t=181310
bi er 	比尔	c=0 d=0.1 t=13457
bi er gang kui 	比尔钢盔	c=1 d=1 t=13458
bi fang 	比方	c=1 d=1 t=193382
bi ji 	笔记	c=5 d=1 t=250752
bi ji ben 	笔记本	c=11 d=1 t=245629
bi jiao 	比较	c=186 d=1.00091 t=268896
bi jiao da 	比较大	c=2 d=1 t=166371
bi jiao duo 	比较多	c=1 d=1 t=659
bi jiao hao 	比较好	c=1 d=1 t=219788
bi jing 	毕竟	c=144 d=1.3588 t=268085
bi jing shi 	毕竟是	c=2 d=1 t=232092
bi kai 	避开	c=2 d=1.92774 t=256425
bi ke neng 	比可能	c=1 d=1 t=209113
bi lan huan xiang 	碧蓝幻想	c=1 d=1 t=55087
bi lao 	比老	c=0 d=0.1 t=42131
bi lao o 	比老哦	c=1 d=1 t=42132
bi li 	比例	c=13 d=4.09399 t=231962
bi mian 	避免	c=15 d=1 t=269026
bi mo 	笔墨	c=1 d=1 t=274
bi mu yang shen 	闭目养神	c=1 d=1 t=88982
bi qu 	必去	c=1 d=1 t=73010
bi ran 	必然	c=2 d=1 t=191497
bi ren 	逼人	c=1 d=1 t=47627
bi ru 	比如	c=212 d=2.43762 t=266448
bi ru tu 	比如图	c=1 d=1 t=42502
bi sai 	比赛	c=3 d=1 t=160699
bi sai 	鼻塞	c=1 d=1 t=63579
bi shang 	闭上	c=1 d=1 t=3562
bi sheng ke 	必胜客	c=1 d=1 t=162869
bi shi 	鄙视	c=1 d=1 t=38086
bi shou qi luan 	必受其乱	c=0 d=0.1 t=516
bi ti 	鼻涕	c=5 d=1 t=99722
bi ti chong 	鼻涕虫	c=1 d=1 t=108423
bi wen 	逼问	c=1 d=1 t=72428
bi wo 	比我	c=2 d=1 t=208575
bi wo men 	比我们	c=3 d=1 t=129078
bi xian 	必先	c=17 d=1.13332 t=268731
bi xian me 	必先么	c=1 d=1 t=99320
bi xin 	比心	c=6 d=1 t=108247
bi xu 	必须	c=95 d=1.21546 t=268013
bi xu yao 	必须要	c=3 d=1 t=84833
bi xu yong 	必须用	c=1 d=1 t=62021
bi yan 	闭眼	c=1 d=1 t=98640
bi yan 	鼻炎	c=16 d=0.1 t=90117
bi yao 	必要	c=17 d=5.1152 t=219890
bi ye 	毕业	c=3 d=1 t=123771
bi ye zheng 	毕业证	c=2 d=1.71892 t=31849
bi yi qian 	比以前	c=2 d=1 t=47995
bi ying 	必应	c=6 d=1 t=147747
bi zhe 	逼着	c=3 d=1 t=96442
bi zhe yan 	闭着眼	c=1 d=1 t=96356
bi zhe yan jing 	闭着眼睛	c=3 d=1 t=117736
bi zhi qian 	比之前	c=1 d=1 t=86860
bi zhong 	必中	c=2 d=1 t=171173
bi zi 	鼻子	c=14 d=1 t=173963
bi zi bu shu fu 	鼻子不舒服	c=1 d=1 t=90146
bi zou 	逼走	c=1 d=1 t=54505
bian 	便	c=6 d=1 t=94991
bian 	变	c=92 d=1 t=257341
bian 	边	c=13 d=1.99005 t=263358
bian 	遍	c=2 d=1 t=112313
bian bian 	边边	c=6 d=1 t=95027
bian bie 	辨别	c=1 d=1 t=3078
bian bu bian 	变不变	c=2 d=1 t=92562
bian chang 	变长	c=3 d=1 t=139998
bian cheng 	变成	c=76 d=1 t=260779
bian cheng 	编程	c=11 d=1.00172 t=247955
bian cheng zhe yang 	变成这样	c=1 d=1 t=79300
bian da 	变大	c=5 d=1 t=244051
bian de 	变得	c=3 d=1 t=53881
bian dong 	变动	c=3 d=1 t=241739
bian ge 	变革	c=1 d=1 t=145162
bian geng 	变更	c=1 d=1 t=158685
bian hao 	编号	c=3 d=2.86712 t=194135
bian hong 	变红	c=2 d=1 t=247518
bian hua 	变化	c=20 d=1.00004 t=257146
bian huan 	变换	c=8 d=1.0009 t=266058
bian huan cong 	变换从	c=1 d=1 t=146164
bian hui 	变灰	c=2 d=1.81873 t=35362
bian ji 	编辑	c=3 d=2.23763 t=232578
